Date,Shape of You,Despacito,Something Just Like This,HUMBLE.,Unforgettable
2017-01-06,12287078,,,,
2017-01-07,13190270,,,,
2017-01-08,13099919,,,,
2017-01-09,14506351,,,,
2017-01-10,14275628,,,,
2017-01-11,14372699,,,,
2017-01-12,14148108,,,,
2017-01-13,14536236,275178,,,
2017-01-14,14173311,1144886,,,
2017-01-15,12889849,1288198,,,
2017-01-16,14128468,1827581,,,
2017-01-17,14158281,2177449,,,
2017-01-18,14293365,2528408,,,
2017-01-19,14252159,2893300,,,
2017-01-20,14583344,3260014,,,
2017-01-21,14100340,3853781,,,
2017-01-22,12834029,3590914,,,
2017-01-23,14102623,4217226,,,
2017-01-24,14322902,4690718,,,
2017-01-25,14505619,4975605,,,
2017-01-26,14780816,5284138,,,
2017-01-27,15514586,5787911,,,
2017-01-28,14832215,6111181,,,
2017-01-29,13064919,5292500,,,
2017-01-30,14231127,5865825,,,
2017-01-31,14822928,6415754,,,
2017-02-01,15082574,6909578,,,
2017-02-02,15188841,7154707,,,
2017-02-03,15746115,7783608,,,
2017-02-04,15466788,7960983,,,
2017-02-05,13921836,6954006,,,
2017-02-06,14262945,7117879,,,
2017-02-07,14901649,7524853,,,
2017-02-08,15100809,7654919,,,
2017-02-09,14933036,7696998,,,
2017-02-10,15552934,8041356,,,
2017-02-11,15413871,8251406,,,
2017-02-12,13676618,7104062,,,
2017-02-13,14674584,7166431,,,
2017-02-14,15008480,7352353,,,
2017-02-15,15102932,7318174,,,
2017-02-16,15131464,7436876,,,
2017-02-17,15956427,7842114,,,
2017-02-18,15695805,7958583,,,
2017-02-19,13745624,6856240,,,
2017-02-20,14372218,6882922,,,
2017-02-21,14518094,7019868,,,
2017-02-22,14620249,7069521,215591,,
2017-02-23,7409446,3598449,3263782,,
2017-02-24,15502723,7718492,9495750,,
2017-02-25,15250574,7799662,8913284,,
2017-02-26,13154470,6542601,7892395,,
2017-02-27,13732236,6680914,8740161,,
2017-02-28,14104281,6894342,9025822,,
2017-03-01,14387674,6993754,9154085,,
2017-03-02,14637424,7124737,9289514,,
2017-03-03,19764745,7477002,9086940,,
2017-03-04,19190515,7578035,8391513,,
2017-03-05,16894102,6528616,7459124,,
2017-03-06,8920869,3209439,4108745,,
2017-03-07,17783792,6489893,8473791,,
2017-03-08,17461176,6481038,8372886,,
2017-03-09,17374877,6668838,8585554,,
2017-03-10,17683148,7151375,8696911,,
2017-03-11,17314324,7559157,8381828,,
2017-03-12,15271883,6483880,7492200,,
2017-03-13,15696357,6367631,8053150,,
2017-03-14,15429469,6530486,8036502,,
2017-03-15,15394529,6581381,8066840,,
2017-03-16,15322277,6744179,8153047,,
2017-03-17,15764710,7266069,8214961,,
2017-03-18,15516325,7537204,7972276,,
2017-03-19,13569145,6415819,7116930,,
2017-03-20,13967401,6261434,7484192,,
2017-03-21,14085438,6210215,7652882,,
2017-03-22,14114195,6274645,7704366,,
2017-03-23,14071898,6331494,7683797,,
2017-03-24,14738207,6914549,8016284,,
2017-03-25,14844704,7317552,7949671,,
2017-03-26,12775012,6167099,6919854,,
2017-03-27,13323435,6131439,7467563,,
2017-03-28,13350066,6292943,7690071,,
2017-03-29,13327608,6391751,7722621,,
2017-03-30,13278707,6487490,7718109,,
2017-03-31,13857236,6807668,8102263,5591687,
2017-04-01,13618632,6889959,7773710,6214676,
2017-04-02,11955149,5827083,6926595,5951795,
2017-04-03,12298714,5679885,7420502,7562327,
2017-04-04,12357088,5859633,7554846,7926908,
2017-04-05,12273297,5865613,7573175,7853640,
2017-04-06,12231223,5948378,7588367,7720368,
2017-04-07,13042637,6533680,9736931,8055220,317011
2017-04-08,12815920,6660608,9334494,7280150,308838
2017-04-09,11291392,5683746,8077875,6396104,756145
2017-04-10,11819128,5762588,8678774,7162611,954504
2017-04-11,11736951,5877897,8591469,7468021,953037
2017-04-12,11716914,6041766,8590463,7495873,972755
2017-04-13,11958775,6327822,8553816,7573209,1047409
2017-04-14,11443718,5846681,8048741,13144962,1124587
2017-04-15,11042206,5617332,7450464,11963789,1181031
2017-04-16,10010095,5108739,6713215,10040949,1200146
2017-04-17,10765545,10236693,7481411,11302669,1469013
2017-04-18,11003682,13837155,7720202,11967713,1699884
2017-04-19,10766018,14530591,7608793,11640174,1725940
2017-04-20,10826572,15603034,7578070,11181908,1820033
2017-04-21,11324112,18076042,7818554,11363409,1953608
2017-04-22,11234996,17750769,7449324,10274500,1890190
2017-04-23,9744436,15592441,6498748,8892731,1696541
2017-04-24,10226555,17174198,7108710,10131992,1976553
2017-04-25,10416529,17794232,7215107,10156513,2105738
2017-04-26,10483469,18053510,7252547,10145977,2620606
2017-04-27,10222461,18150660,7135760,10016786,2698186
2017-04-28,10818508,20021846,7545200,10309105,3028343
2017-04-29,10836688,20266973,7228232,9535829,3191729
2017-04-30,9754326,18406851,6545783,8415625,2971223
2017-05-01,9593805,18367645,6596730,8737383,3253665
2017-05-02,9706051,18955297,6846097,9192670,3619296
2017-05-03,9888519,19322294,6931541,9233418,3759408
2017-05-04,9934971,19505497,6935114,9207136,3855119
2017-05-05,10520138,21169157,7238272,9526065,4112038
2017-05-06,10555302,21096685,6959582,8935434,4025107
2017-05-07,9168672,17895091,6075220,7805942,3598374
2017-05-08,9483810,19068836,6592512,8576556,4168044
2017-05-09,9701644,19772336,6686915,8830985,4408268
2017-05-10,9675779,19848833,6653322,8746830,4488334
2017-05-11,9560953,20017122,6658910,8689326,4339295
2017-05-12,10105739,21542862,7013481,9077519,4523770
2017-05-13,10077677,21606277,6678893,8683478,4308062
2017-05-14,8671832,18556585,5758414,7511379,3845575
2017-05-15,9081859,19750988,6283248,8281634,4441224
2017-05-16,9374428,20324830,6344965,8538806,4709739
2017-05-17,9287237,20380605,6017925,8454767,4795563
2017-05-18,9162677,20967686,5836777,8431003,5096004
2017-05-19,9687373,22169945,6103377,8762806,5292576
2017-05-20,9587491,22271168,5882114,8239957,5032800
2017-05-21,8099936,19291804,5144732,7214077,4512437
2017-05-22,8306796,19990671,5526221,7757136,4997624
2017-05-23,8482709,20206249,5583887,7963927,5109260
2017-05-24,8689525,21098792,5753065,8060525,5310612
2017-05-25,8745570,21620119,5779886,8039395,5385823
2017-05-26,9285005,23218183,6101814,8318984,5579455
2017-05-27,8968725,22744894,5699766,7708217,5189684
2017-05-28,7797390,19682193,5021231,6799333,4722146
2017-05-29,7968074,19119391,5251779,6956411,4963030
2017-06-01,8270321,20697677,5495998,7364896,5738504
2017-06-03,8383160,21339194,5264998,7138376,5700860
2017-06-04,7292429,18317216,4665442,6308290,5056728
2017-06-05,7564274,18579274,5213153,6612172,5536914
2017-06-06,7733799,18831975,5317735,6844215,5794155
2017-06-07,7991347,19089132,5401157,6972281,6040520
2017-06-08,8038934,19146578,5359403,6893265,6103138
2017-06-09,8347951,20414015,5555463,7130699,6435133
2017-06-10,8294822,20814279,5298619,6876924,6317618
2017-06-11,7209910,18061777,4655866,6170861,5633437
2017-06-12,7471696,18016294,4983829,6516012,6132437
2017-06-13,7649602,18247619,5096237,6618499,6296232
2017-06-14,7791397,18796844,5230213,6699187,6529679
2017-06-15,7788117,18859909,5240236,6658054,6539428
2017-06-16,8108408,19658830,5431826,6783439,6671912
2017-06-17,8124731,20358876,5254454,6512488,6661705
2017-06-18,7062291,17669708,4607159,5697471,5919580
2017-06-19,7222278,17678927,4899566,6109417,6479657
2017-06-20,7322216,18072968,4945979,6226739,6650204
2017-06-21,7320808,18266517,4991918,6114166,6649982
2017-06-22,7414811,18516324,5028154,5836170,6676589
2017-06-23,7790331,19704628,5221599,5787698,6760113
2017-06-24,7435279,19027255,4808014,5356980,6406220
2017-06-25,6464995,16317670,4245668,4784760,5672986
2017-06-26,6899036,16833985,4719520,5159169,6457472
2017-06-27,6956048,16828321,4756455,5233342,6561576
2017-06-28,6948876,16755069,4733774,5219358,6600259
2017-06-29,6979147,16738208,4737784,5264616,6668812
2017-06-30,7418266,18016506,5002806,5414745,6964822
2017-07-01,7286405,18100043,4774843,5089295,6686994
2017-07-02,6291781,15459004,4141816,4470802,5843136
2017-07-03,6658379,15717350,4513399,4725057,6316964
2017-07-04,6945239,16216181,4842624,4695211,6438641
2017-07-05,6889862,16234560,4787127,4665841,6618288
2017-07-06,6864039,16341451,4714461,4733036,6734873
2017-07-07,7165776,17408778,4938822,4890511,6971756
2017-07-08,7083965,17434310,4676309,4604028,6775806
2017-07-09,6192566,15209922,4113499,4138663,6030924
2017-07-10,6545599,15436463,4457975,4396545,6502623
2017-07-11,6591634,15492198,4481153,4435075,6655153
2017-07-12,6604220,15471584,4527169,4393344,6735165
2017-07-13,6670011,15702710,4555915,4417653,6889203
2017-07-14,6873986,16471127,4727981,4588352,7428439
2017-07-15,6675732,16549098,4480897,4426203,7286421
2017-07-16,5780812,14158281,3878012,3949880,6540054
2017-07-17,6270412,14458210,4215697,4218110,7202114
2017-07-18,6332080,14445760,4235126,4252510,7442837
2017-07-19,6321482,14533247,4198519,4216456,7383549
2017-07-20,6345232,14574866,4196855,4221129,7317581
2017-07-21,6584434,15290172,4324180,4340508,7483165
2017-07-22,6419125,15081889,4128746,4087726,7272876
2017-07-23,5593737,12900257,3592715,3673824,6372850
2017-07-24,5971241,12947182,3898377,3920478,6976951
2017-07-25,6084365,13083960,3966279,4057663,7142650
2017-07-26,6036253,12992407,3942363,4044913,7193455
2017-07-27,6136793,13000596,4011774,4071007,7238086
2017-07-28,6392647,13759811,4177788,4204291,7430381
2017-07-29,6219539,13667396,3980576,4049163,7177577
2017-07-30,5438809,11842229,3485531,3603193,6310817
2017-07-31,5807756,11996903,3831588,3832712,6861903
2017-08-01,5837671,12037931,3873641,3910393,6980911
2017-08-02,5816421,11974849,3835236,3893299,7002895
2017-08-03,5813934,11925165,3809888,3903153,7056852
2017-08-04,6007623,12565919,3952948,4034865,7272132
2017-08-05,5853156,12595568,3762743,3845196,7013793
2017-08-06,5161329,10971045,3303766,3429417,6148053
2017-08-07,5463623,11038928,3601600,3620249,6558849
2017-08-08,5503197,11026134,3617536,3737388,6646539
2017-08-09,5577100,11072469,3679142,3810186,6775658
2017-08-10,5609356,11077073,3704051,3861148,6834501
2017-08-11,5821842,11682964,3826441,3952534,7010525
2017-08-12,5690637,11541402,3608592,3756727,6727197
2017-08-13,5048734,10162818,3227925,3386920,6007073
2017-08-14,5356407,10227207,3458670,3596980,6522976
2017-08-15,5324014,10117908,3441392,3626772,6599419
2017-08-16,5340468,10112353,3428613,3667274,6702959
2017-08-17,5354799,10078390,3388205,3673307,6728231
2017-08-18,5612592,10632098,3514567,3788165,6917995
2017-08-19,5521995,10745228,3330789,3631568,6714150
2017-08-20,4877951,9347543,2930431,3250541,5971170
2017-08-21,5053891,9190645,3137077,3362878,6324038
2017-08-22,5190960,9345758,3220089,3525272,6557427
2017-08-23,5213331,9291811,3247528,3538478,6594554
2017-08-24,5192733,9112136,3200638,3593733,6629096
2017-08-25,5372132,9604864,3297845,3728981,6919821
2017-08-26,5398407,9830691,3177570,3707354,6735165
2017-08-27,4639412,8211357,2708561,3241394,5697007
2017-08-28,5052322,8245177,2965292,3805542,6155840
2017-08-29,5069208,8326055,3047201,3840230,6312760
2017-08-30,5073099,8289340,3098976,3811893,6261844
2017-08-31,5004209,8220587,3081615,3763414,6270509
2017-09-01,5211297,8851183,3220023,3899350,6555770
2017-09-02,5184822,8855437,3063769,3649317,6234713
2017-09-03,4565886,7634595,2706883,3242651,5455643
2017-09-04,4707435,7493172,2888297,3398290,5809396
2017-09-05,4695639,7304888,2881964,3429361,5888354
2017-09-06,4760158,7274460,2899870,3455123,5964207
2017-09-07,4826109,7319295,2872544,3503719,5976230
2017-09-08,4910246,7615512,2926563,3628067,6153565
2017-09-09,4811154,7678972,2788193,3444938,5887824
2017-09-10,4198795,6611073,2457214,3035355,5163668
2017-09-11,4361981,6438665,2634210,3219538,5567003
2017-09-12,4449059,6485427,2693230,3339749,5768113
2017-09-13,4486914,6372277,2730972,3362267,5813366
2017-09-14,4625412,6392424,2789158,3427588,5842846
2017-09-15,4857453,6897461,2897776,3588348,6085964
2017-09-16,4811542,7115121,2775660,3437075,5875577
2017-09-17,4217726,6217801,2411478,3022022,5050812
2017-09-18,4438039,6079504,2589228,3223558,5394894
2017-09-19,4449027,5845989,2605795,3318253,5498925
2017-09-20,4450117,5696752,2620766,3333215,5573412
2017-09-21,4511416,5804669,2662157,3377269,5632846
2017-09-22,4803446,6287200,2795011,3550018,5836533
2017-09-23,4811273,6457167,2697447,3361464,5588322
2017-09-24,4173114,5543199,2386744,2973071,4928772
2017-09-25,4300493,5294767,2532344,3142953,5246747
2017-09-26,4382561,5328387,2584103,3245227,5323218
2017-09-27,4432205,5405673,2626524,3310160,5369976
2017-09-28,4407021,5451463,2651182,3371796,5380140
2017-09-29,4612169,5887270,2805798,3408516,5622105
2017-09-30,4528232,5934154,2644431,3179287,5469318
2017-10-01,3909551,5047240,2310057,2787820,4669591
2017-10-02,4127122,4914458,2488921,3009934,5031324
2017-10-03,4237114,4800023,2546028,3127029,5154154
2017-10-04,4271413,4817960,2572763,3144219,5069708
2017-10-05,4245407,5017664,2567514,3173822,4804623
2017-10-06,4514154,5298530,2715368,3375834,5013373
2017-10-07,4495360,5611556,2608568,3167155,4772899
2017-10-08,3910406,4812894,2278815,2745954,4149464
2017-10-09,4087219,4476628,2450972,2910896,4322950
2017-10-10,4101578,4399014,2480750,2970858,4359961
2017-10-11,4132781,4426403,2392039,2972495,4331127
2017-10-12,4192091,4476909,2316364,3020360,4377235
2017-10-13,4438626,4864863,2425219,3182271,4716436
2017-10-14,4405296,5175338,2329103,2988696,4499964
2017-10-15,3875526,4532672,2064846,2643346,3947139
2017-10-16,4014222,4220968,2208437,2816293,4124168
2017-10-17,4048071,4203320,2253347,2917406,4193222
2017-10-18,4098205,4126287,2278676,2914412,4199350
2017-10-19,4123090,4176623,2288116,2946116,4224348
2017-10-20,4375158,4551204,2359956,3068961,4474331
2017-10-21,4313880,4680268,2246145,2885641,4321072
2017-10-22,3759421,3957884,1966532,2527603,3737602
2017-10-23,3966631,3837990,2102072,2705348,3973208
2017-10-24,4042766,3906281,2131370,2801453,4053813
2017-10-25,4092810,3979854,2177538,2808765,4097702
2017-10-26,4116823,4010417,2185035,2850254,4099284
2017-10-27,4313006,4328256,2241455,3011551,4322923
2017-10-28,4197548,4612204,2122025,2793502,4046255
2017-10-29,3668538,3796560,1877896,2490961,3545629
2017-10-30,3884031,3642564,2028548,2617807,3795222
2017-10-31,3926951,3888958,2034408,2703940,3827345
2017-11-01,3819439,3662143,1997851,2586475,3630529
2017-11-02,3938190,3700892,2052542,2675831,3747806
2017-11-03,4144346,4010977,2129755,2805267,3961130
2017-11-04,4044433,4020957,2054355,2594979,3713045
2017-11-05,3567680,3358109,1813190,2279612,3258038
2017-11-06,3695556,3133130,1949896,2471080,3465063
2017-11-07,3803589,3069122,2025309,2571403,3563317
2017-11-08,3857766,3188437,2091348,2587832,3630088
2017-11-09,3896043,3360350,2114187,2589968,3636623
2017-11-10,4160512,3555034,2199808,2694944,3841749
2017-11-11,4169862,3762636,2086537,2530450,3682152
2017-11-12,3658492,3234510,1839484,2231423,3201396
2017-11-13,3701108,2995731,1961776,2372934,3383654
2017-11-14,3829468,3106599,2024536,2487216,3522049
2017-11-15,3940055,3228922,2072633,2521797,3615039
2017-11-16,3914455,3184255,2072885,2525020,3601911
2017-11-17,4133833,3644654,2138618,2617439,3769327
2017-11-18,4110628,3922003,2051539,2460020,3650789
2017-11-19,3666668,3343278,1807982,2054707,3195993
2017-11-20,3741930,3046317,1950981,2158850,3294761
2017-11-21,3796844,3089118,1993765,2212817,3415188
2017-11-22,3887983,3123134,2026582,2235130,3510993
2017-11-23,3831227,2979721,1957258,2071230,3348415
2017-11-24,3934731,3056587,1969707,2003743,3334933
2017-11-25,4037535,3277689,1917285,1963710,3302385
2017-11-26,3607335,2809414,1747479,1822490,2960413
2017-11-27,3651453,2590998,1855624,1945191,3091897
2017-11-28,3754323,2641420,1926842,2005434,3166629
2017-11-29,3869611,2717354,1963523,2046201,3243320
2017-11-30,3887032,2661182,1990808,2054789,3228846
2017-12-01,4088078,2774406,1783573,2088544,3328965
2017-12-02,3973771,2967287,1679101,1926955,3064846
2017-12-03,3497682,2459963,1492999,1715923,2681287
2017-12-04,3608439,2300997,1653213,1833301,2832473
2017-12-05,4025974,2862451,2065676,2094680,2969181
2017-12-06,4486684,3356051,2287838,2374910,3082904
2017-12-07,4956182,3962757,2524975,2935759,3258200
2017-12-08,4923111,4094943,2574826,3035211,3379843
2017-12-09,4730381,3959109,2336025,2863104,3184655
2017-12-10,4088841,3140477,2009351,2487852,2695505
2017-12-11,4182447,2966875,2154369,2657255,2834333
2017-12-12,4303919,3233276,2235475,2764066,2963018
2017-12-13,4358667,3314040,2267402,2780471,2978316
2017-12-14,4369297,3325530,2248060,2780681,2994198
2017-12-15,4514100,3361095,2225837,2756924,3067124
2017-12-16,4463192,3489922,2113797,2567140,2723787
2017-12-17,3917389,2961518,1873012,2279766,2341248
2017-12-18,4071886,2781199,2028347,2479225,2491145
2017-12-19,4274011,3003114,2132337,2634297,2607727
2017-12-20,4436628,3154413,2169795,2687930,2664331
2017-12-21,4510806,3240941,2175124,2732839,2729016
2017-12-22,4516401,3336412,1955405,2737098,2746256
2017-12-23,4392917,3332468,1827557,2317933,2372778
2017-12-24,4115734,3084918,1482265,1979313,1998051
2017-12-25,3575347,2945233,1380813,1638493,1754546
2017-12-26,3874765,3008858,1952557,2035487,2044976
2017-12-27,4393658,3463788,2241642,2445535,2423038
2017-12-28,4531610,3498889,2379535,2603003,2668312
2017-12-29,4661519,3661065,2510770,2604563,2825661
2017-12-30,4707603,3912257,2505685,2566709,2808529
2017-12-31,7073032,8203454,3514602,2787752,3792953
2018-01-01,4865387,5557165,2179506,2368321,2537274
2018-01-02,4541816,3980200,2368870,2505241,2683769
2018-01-03,4596993,3890385,2363422,2587620,2753557
2018-01-04,4447076,3512667,2345804,2575748,2710101
2018-01-05,4492978,3450315,2408365,2685857,2869783
2018-01-06,4416476,3394284,2188035,2559044,2743748
2018-01-07,4009104,3020789,1908129,2350985,2441045
2018-01-08,4135505,2755266,2023251,2523265,2622693
2018-01-09,4168506,2791601,2058016,2727678,2627334